Dizi Adi,Baslangic Yili,Ortalama Suresi,Yayinci Kuruluslar,Yapim sirketi,Yapimci,Senarist,Yonetmen,Oyuncu1puan,Oyuncu2puan,Oyuncu3puan,Turler,Bitis Yili,Sezon Sayisi,Yayinlanan bolum sayisi,ihrac durumu
Arka Sokaklar,2006,80,Kanal D,Erler Film,Turker Inanoglu,Ozan Yurdakul,Abdullah Oguz,85,90,85,Polisiye,2019,13,490,1
Yaprak Dokumu,2006,90,Kanal D,Ay Yapim,Kerem Catay,Ece Yorenc,Cagri Vila Lostuvali,70,85,90,Dram,2011,5,174,1
Elveda Rumeli,2007,90,ATV,Adam Film,Tarkan Karlidag,Alican Yaras,Serdar Akar,75,70,60,Dram,2009,3,83,0
Asi,2007,90,Kanal D,Sis Yapim,Tomris Giritlioglu,Sebnem Citak,Cevdet Mercan,65,80,70,Dram,2009,2,71,1
Dudaktan Kalbe,2007,90,Show Tv,Ay Yapim,Kerem Catay,Ece Yorenc,Andac Haznedaroglu,85,65,65,Dram,2009,2,75,1
Menekse Ile Halil,2007,100,Kanal D,Ay Yapim,Kerem Catay,Ece Yorenc,Uluc Bayraktar,90,45,40,Dram,2008,1,36,1
Fikrimin Ince Gulu,2007,60,Show Tv,Med Yapim,Fatih Aksoy,Ruya Iscileri,Merve Girgin,30,35,45,Dram,2007,1,8,0
Zoraki Koca,2007,90,Kanal D,Origami Yapim,Levent Celik,Gul Abus Semerci,Kartal Tibet,80,65,40,Komedi,2007,1,26,0
Annem,2007,100,Kanal D,Gold Film,Faruk Turgut,Gamze Ozer,Faruk Teber,75,60,70,Dram,2009,2,64,1
Genco,2007,90,Kanal D,D Productions,Ayse Durmaz,Yelda Eroglu,Kemal Uzun,75,45,75,Dram,2008,1,51,1
Kavak Yelleri,2007,100,Kanal D,Tims Productions,Timur Savci,Pinar Ordu Arslan,Taner Elhan,85,70,90,Dram,2011,5,170,1
Bicak Sirti,2007,80,Kanal D,TMC,Erol Avci,Gaye Boralioglu,Selim Demirdelen,50,55,45,Dram,2008,1,30,1
Kurtlar Vadisi Pusu,2007,120,Show Tv,Pana Film,Raci Sasmaz,Raci Sasmaz,Sadullah Senturk,90,85,90,Aksiyon,2016,10,300,1
Arka Siradakiler,2007,90,Fox Tv,Mint Film,Birol Guven,Yelda Acikgoz,Hamdi Alkan,80,90,90,Dram,2011,5,160,0
Adanali,2008,90,ATV,Kuzey Productions,Mehmet Yigit Alp,Tayfun Guneyer,Adnan Guler,90,80,80,Aksiyon,2010,3,79,0
Akasya Duragi,2008,90,Kanal D,Erler Film,Turker Inanoglu,Resul Ertas,Yasar Seriner,90,90,90,Komedi,2012,5,174,0
Aski Memnu,2008,90,Kanal D,Ay Yapim,Kerem Catay,Ece Yorenc,Hilal Saral,90,90,75,Dram,2010,2,79,1
Baba Ocagi,2008,90,Star Tv,Sinetel Film,Ibrahim Mertoglu,Filiz Ekinci,Mustafa Sevki Dogan,80,50,30,Komedi,2009,1,52,0
Canim Ailem,2008,90,ATV,TMC,Erol Avci,Selin Tunc,Sadullah Celen,70,75,65,Komedi,2010,2,63,0
Kucuk Kadinlar,2008,90,Kanal D,D Productions,Ayse Durmaz,Deniz Akcay,Hakan Arslan,85,75,75,Dram,2011,3,120,1
Benim Annem Bir Melek,2008,90,ATV,BKM,Elif Yakarcelik,Vasif Kucukoruc,Hakan Algul,75,65,60,Komedi,2010,3,64,0
Yol Arkadasim,2008,80,Kanal D,Sis Yapim,Ilgaz Giritlioglu,Cagan Irmak,Irmak Cig,65,65,65,Dram,2009,2,41,1
Bir Kadin Bir Erkek,2008,45,Star Tv,Ortaks Yapim,Muge Turali Pak,Ali Alper Arze,Leyla Yaman,95,90,90,Komedi,2015,8,416,0
Bir Bulut Olsam,2009,90,Kanal D,Tims Productions,Timur Savci,Meral Okay,Ulas Inac,55,70,85,Dram,2009,2,29,1
Melekler Korusun,2009,120,Show Tv,Tims Productions,Timur Savci,Sema Ergenekon,Cevriye Demir,80,65,55,Dram,2010,2,73,0
Kapali Carsi,2009,100,ATV,TMC,Erol Avci,Gaye Boralioglu,Yasin Uslu,50,50,65,Dram,2009,1,38,0
Ezel,2009,90,ATV,Ay Yapim,Kerem Catay,Kerem Deren,Uluc Bayraktar,90,85,65,Aksiyon,2010,2,71,1
Unutulmaz,2009,90,ATV,Stil Medya,Ahmet Bayram,Haldun Unsal,Ersoy Guler,70,65,65,Dram,2010,2,90,0
Genis Aile,2009,90,Kanal D,D Productions,Ahmet Kayumtu,Cuneyt Inay,Omer Ugur,85,80,75,Komedi,2011,3,108,0
Makber,2009,90,Star Tv,Pana Film,Raci Sasmaz,Sebnem Askoy,Kemal Uzun,35,35,25,Dram,2009,1,6,0
Kul ve Ates,2009,90,Star Tv,Asis Film,Ilgaz Giritlioglu,Hale Calap Demiray,Cemile Kirmizi Karadas,55,65,20,Dram,2009,1,9,0
Behzat C,2010,90,Star Tv,Adam Film,Tarkan Karlidag,Ercan Mehmet Erdem,Serdar Akar,70,75,75,Polisiye,2013,3,96,0
Fatmagulun Sucu Ne,2010,90,Kanal D,Ay Yapim,Kerem Catay,Ece Yorenc,Hilal Saral,90,70,80,Dram,2012,2,80,1
Gonulcelen,2010,90,ATV,Sis Yapim,Tomris Giritlioglu,Gul Dirican,Cevdet Mercan,80,80,65,Dram,2011,2,56,1
Oyle Bir Gecer Zaman Ki,2010,90,Kanal D,D Productions,Ayse Durmaz,Coskun Irmak,Zeynep Gunay Tan,85,70,85,Dram,2013,3,120,1
Lale Devri,2010,90,Fox Tv,Avsar Film,Sukru Avsar,Sema Ergenekon,Murat Duzgunoglu,85,85,90,Dram,2014,4,135,1
Kucuk Sirlar,2010,90,Kanal D,Tims Productions,Timur Savci,Nukhet Bicakci,Cevriye Demir,80,55,70,Genclik,2011,2,55,1
Kanit,2010,75,Kanal D,ANS Yapim,Abdullah Oguz,Ahmet Saatcioglu,Biray Dalkiran,75,80,80,Polisiye,2013,3,100,0
Turkan,2010,90,Kanal D,Koliba Film,Ata Turkoglu,Oya Yuce,Cemal San,25,45,55,Dram,2011,1,26,0
Yahsi Cazibe,2010,90,ATV,Surec Film,Gani Mujde,Gani Mujde,Bora Onur,70,70,70,Komedi,2012,2,93,0
Turk Mali,2010,90,Show Tv,Kuzey Productions,Mehmet Yigit Alp,Tayfun Guneyer,Tayfun Guneyer,75,60,65,Komedi,2011,2,33,0
Yer Gok Ask,2010,90,Fox Tv,Avsar Film,Sukru Avsar,Sema Ergenekon,Canan Celik,85,70,85,Dram,2013,3,122,0
Sen Yuva,2010,90,ATV,BKM,Necati Akpinar,Emrah Sinanoglu,Hakan Algul,85,55,55,Komedi,2010,2,20,0
Leyla ile Mecnun,2011,75,TRT 1,Eflatun Film,Orkun Unlu,Burak Aksak,Onur unlu,85,90,75,Komedi,2013,3,104,1
Kuzey Guney,2011,90,Kanal D,Ay Yapim,Kerem Catay,Ece Yorenc,Hilal Saral,90,55,70,Dram,2013,2,80,1
Bir cocuk Sevdim,2011,90,Kanal D,Tims Productions,Timur Savci,Gaye Boralioglu,Cevdet Mercan,85,65,40,Dram,2012,1,39,1
Adini Feriha Koydum,2011,120,Show Tv,Med Yapim,Fatih Aksoy,Melis Civelek,Merve Girgin,75,70,75,Dram,2012,2,67,1
Alemin Krali,2011,90,ATV,Surec Film,Ali Gundogdu,Kemal Kenan Ergen,Derya Yaruc,75,75,60,Komedi,2013,2,67,0
Avrupa Avrupa,2011,100,TRT 1,Mia Yapim,Banu Akdeniz,Fethi Kantarci,Safak Bal,75,75,80,Komedi,2013,3,91,0
Muhtesem Yuzyil,2011,100,Show Tv,Tims Productions,Timur Savci,Meral Okay,Taylan Biraderler,85,80,95,Tarihi,2014,4,139,1
Umutsuz Ev Kadinlari,2011,100,Kanal D,Med Yapim,Fatih Aksoy,Meryem Gur,Ozlem Baysu unlu,85,70,85,Komedi,2014,3,154,1
Pis Yedili,2011,120,Show Tv,TukenmezKalem Film,Gani Mujde,Tufan Karakose,Suleyman Celik,85,75,80,Genclik,2014,3,120,0
Firar ,2011,90,Star Tv,Koliba Film,Ata Turkoglu,Ozan Yurdakul,Cemal San,55,60,40,Aksiyon,2012,1,35,0
Tovbeler Tovbesi,2011,90,ATV,Limon Film,Hayri Aslan,Zulkuf Yucel,Aydin Bulut,60,60,65,Komedi,2012,2,37,0
Kesanli Ali Destani,2011,110,Kanal D,D Productions,Ayse Durmaz,Ozen Yula,Cagan Irmak,50,35,30,Dram,2012,1,13,0
Isler Gucler,2012,90,Star Tv,Limon Film,Hayri Aslan,Selcuk Aydemir,Selcuk Aydemir,55,60,40,Komedi,2013,1,41,0
Suskunlar,2012,90,Show Tv,Tims Productions,Timur Savci,Pinar Bulut,Cagatay Tosun,65,65,70,Dram,2012,2,28,1
Karadayi,2012,120,ATV,Ay Yapim,Kerem Catay,Sema Ergenekon,Uluc Bayraktar,90,80,65,Dram,2015,3,122,1
Seksenler,2012,120,TRT 1,Mint Film,Birol Guven,Birol Guven,Birol Guven,90,90,90,Komedi,2017,6,337,0
Kayip sehir,2012,90,Kanal D,D Productions,Ayse Durmaz,Yelda Eroglu,Cevdet Mercan,70,80,40,Dram,2012,1,26,0
Benim Icin uzulme,2012,90,Show Tv,Boyut Film,Murat Tokat,	Mahsun Kirmizigul,Serkan Birinci,70,65,60,Dram,2014,2,55,1
Ucurum,2012,90,ATV,Surec Film,Ali Gundogdu,Kerem Deren,Cem Karci,70,60,60,Dram,2012,2,24,0
Ustura Kemal,2012,90,Show Tv,Surec Film,Ali Gundogdu,Baykut Badem,Mustafa Sevki Dogan,90,45,30,Dram,2012,1,12,0
Kotu Yol,2012,120,Kanal D,Gold Film,Faruk Turgut,Zulkuf Yucel,Nisan Akman,80,70,25,Dram,2012,1,13,0
Krem,2012,90,ATV,Bando Yapim,Melda Perahya,Askim Ozbek,Oguzhan Tercan,60,35,35,Komedi,2013,1,24,0
Huzur Sokagi,2012,120,ATV,Set Film,Tayfun Dincer,Funda Cetin,Senol Sonmez,80,80,80,Dram,2014,2,67,0
Son,2012,90,ATV,Ay Yapim,Kerem Catay,Berkun Oya,Uluc Bayraktar,85,75,60,Dram,2012,1,25,1
Zengin Kiz Fakir Oglan,2012,120,TRT 1,Mint Film,Birol Guven,Caner Guler,Hasan Tolga Pulat,90,85,85,Komedi,2015,4,222,0
Sudan Bikmis Baliklar,2012,120,Star Tv,Focus Film,Nilgun Sagyasar,Eylem Akin,Cevriye Demir,30,35,25,Komedi,2012,1,11,0
Eve Dusen Yildirim,2012,120,Show Tv,Med Yapim,Fatih Aksoy,Meryem Gul,Bahadir Er,40,60,40,Dram,2012,1,22,0
Yalan Dunya,2012,120,Kanal D,D Productions,Ayse Durmaz,Gulse Birsel,Jale Atabey ozberk,85,90,90,Komedi,2014,4,90,0
Medcezir,2013,120,Star Tv,Ay Yapim,Kerem catay,Ece Yorenc,Ali Bilgin,85,70,65,Genclik,2015,2,77,1
Kacak,2013,100,ATV,Surec Film,Ali Gundogdu,Zulkuf Yucel,Ahmet Volkan Kocaturk,85,65,60,Polisiye,2015,2,52,0
Tatar Ramazan,2013,100,ATV,TMC,Erol Avci,Can Sinan,Cevdet Mercan,70,60,65,Tarihi,2014,2,26,1
Doksanlar,2013,100,ATV,Mint Film,Birol Guven,Birol Guven,Mufit Can Sacinti,40,40,45,Komedi,2014,1,43,0
Sana Bir Sir Verecegim,2013,90,Fox Tv,Scor Film,Selim Erkul,Ethem Ozisik,Cevriye Demir,40,60,50,Genclik,2014,1,29,0
Gunesi Beklerken,2013,120,Kanal D,D Productions,Ayse Durmaz,Deniz Dargi,Altan Donmez,55,50,45,Genclik,2014,1,54,0
Beni Boyle Sev,2013,110,TRT 1,BSK Yapim,Cagri Binguller,Hakan Haksun,Cem Tabak,90,75,75,Komedi,2015,3,89,0
Fatih Harbiye,2013,120,Show Tv,Koliba Film,Ata Turkoglu,Hayriye Ersoz,Sadullah Celen,75,60,65,Dram,2014,2,50,0
Aldirma Gonul,2013,90,ATV,BKM,Necati Akpinar,Meric Demiray,Hakan Algul,30,25,20,Komedi,2014,1,9,0
Karagul,2013,140,Fox Tv,Avsar Film,Sukru Avsar,Sema Ergenekon,Murat Saracoglu,80,90,90,Dram,2016,4,125,1
Galip Dervis,2013,70,Kanal D,Barakuda Film,Ahmet Kayimtu,Andy Breckman,Baris Pirhasan,85,75,75,Polisiye,2014,3,56,0
Ben de ozledim,2013,70,Star Tv,Eflatun Film,Orkun Unlu,Burak Aksak,Onur Unlu,85,35,35,Komedi,2014,1,13,0
Calikusu,2013,100,Kanal D,Tims Productions,Timur Savci,Sevgi Yilmaz,Dogan Umit Karaca,85,80,65,Romantik,2014,1,30,1
Guzel Cirkin,2013,90,Kanal D,Erler Film,Ilker Inanoglu,Ruya Iscileri,Kemal Uzun,30,60,25,Polisiye,2013,1,13,0
Merhamet,2013,95,Kanal D,Most Production,Gul Oguz,Mahinur Ergun,Cagatay Tosun,60,70,65,Dram,2014,2,44,1
Kardes Payi,2014,60,Star Tv,NTC Medya,Mehmet Yigit Alp,Selcuk Aydemir,Selcuk Aydemir,55,60,35,Komedi,2015,2,35,0
Dirilis Ertugrul,2014,60,TRT 1,Tekden Film,Mehmet Bozdag,Mehmet Bozdag,Metin Gunay,85,70,90,Tarihi,2019,5,130,1
Poyraz Karayel,2014,120,Kanal D,Limon Film,Hayri Aslan,Ethem Ozisik,Cagri Vila Lostuvali,90,80,90,Dram,2017,4,82,0
Kara Para Ask,2014,120,ATV,Ay Yapim,Kerem Catay,Sema Ergenekon,Ahmet Katiksiz,70,80,80,Dram,2015,2,54,1
Filinta,2014,120,TRT 1,ES Film,Bulent Turgut,Altug Kucuk,Kudret Sabanci,65,65,70,Tarihi,2016,2,56,1
Kacak Gelinler,2014,90,Star Tv,NTC Medya,Mehmet Yigit Alp,Engin Elgun,Kerem Cakiroglu,65,65,45,Komedi,2015,1,29,0
Kurt Seyit ve Sura,2014,90,Star Tv,Ay Yapim,Kerem Catay,Ece Yorenc,Hilal Saral,90,65,55,Tarihi,2014,2,21,0
Benim Adim Gultepe,2014,120,Kanal D,D Productions,Ayse Durmaz,Vural Yasaroglu,Zeynep Gunay Tan,70,25,20,Dram,2014,1,8,0
Kucuk Aga,2014,120,Kanal D,Erler Film,Turker Inanoglu,Sinan Yurdakul,Aysun Akyuz,85,80,70,Komedi,2015,2,50,0
Gullerin Savasi,2014,120,Kanal D,Med Yapim,Fatih Aksoy,Funda Cetin,Merve Girgin,65,65,60,Dram,2016,2,68,1
Ulan Istanbul,2014,120,Kanal D,D Productions,Ayse Durmaz,Ugras Gunes,Murat Onbul,40,60,45,Komedi,2015,1,39,0
Bana Artik Hicran De,2014,120,Kanal D,Surec Film,Ali Gundogdu,Coskun Irmak,Volkan Kocaturk,55,30,70,Dram,2014,1,4,0
Kizilelma,2014,120,TRT 1,Sinegraf,Osman Sinav,Suleyman Cobanoglu,Mustafa Sevki Dogan,60,70,60,Aksiyon,2014,2,28,0
Gunahkar,2014,100,Fox Tv,MF Yapim,Fatih Aksoy,Makbule Kosif,Baris Yos,40,30,20,Dram,2014,1,7,0
Yedi Guzel Adam,2014,90,TRT 1,Pusula Film,Ilksen Firat,Silan Avci,Levent Demirkale,65,60,60,Dram,2015,2,39,0
Guzel Koylu,2014,120,Star Tv,Gold Film,Faruk Turgut,Baykut Badem,Mustafa Sevki Dogan,40,45,50,Komedi,2015,1,52,0
Paramparca,2014,120,Star Tv,Endemol Shine,Gokhan Tatarer,Yildiz Tunc,Cevdet Mercan,70,85,85,Dram,2017,3,97,1
Asktan Kacilmaz,2014,120,Star Tv,Erler Film,Turker Inanoglu,Mahinur Ergun,Metin Balekoglu,60,65,25,Dram,2014,1,11,0
Kiraz Mevsimi,2014,120,Fox Tv,Surec Film,Ali Gundogdu,Makbule Kosif,Filiz Gulmez Pakman,60,65,60,Romantik,2015,2,59,1
Kocamin Ailesi,2014,120,Fox Tv,Mia Yapim,Banu Akdeniz,Nuray Uslu,Safak Bal,65,75,70,Komedi,2015,2,57,0
O Hayat Benim,2014,120,Fox Tv,Pastel Film,Yasar Irvul,Yelda Eroglu,Merve Girgin,90,70,90,Dram,2017,4,131,0
Eskiya Dunyaya Hukumdar Olmaz,2015,120,ATV,Pana Film,Raci Sasmaz,Raci Sasmaz,Onur Tan,90,90,90,Aksiyon,2019,4,120,0
Inadina Ask,2015,120,Fox Tv,Sinegraf,Osman Sinav,Ferda Eryilmaz,Osman Sinav,55,45,40,Komedi,2016,1,32,0
Kara Sevda,2015,140,Star Tv,Ay Yapim,Kerem Catay,Hilal Saral,Hilal Saral,75,80,60,Dram,2017,2,74,1
Kirgin Cicekler,2015,140,ATV,NTC Medya,Mehmet Yigit Alp,Gul Abus Semerci,Serkan Birinci,75,80,75,Dram,2018,3,113,0
Poyraz Karayel,2015,100,Kanal D,Limon Film,Hayri Aslan,Ethem Ozisik,Osman Tasci,80,90,90,Polisiye,2017,3,82,0
Muhtesem Yuzyil  Kosem,2015,125,Star Tv,Tims Productions,Timur Savci,Yilmaz Sahin,Cagatay Tosun,90,65,60,Tarihi,2017,2,60,1
Kiralik Ask,2015,120,Star Tv,Ortaks Yapim,Muge Turali Pak,Meric Acemi,Metin Balekoglu,70,65,65,Komedi,2017,2,69,1
Adi Mutluluk,2015,100,Fox Tv,Surec Film,Ali Gundogdu,Hakan Bonomo,Ersoy Ozlevi,35,60,25,Genclik,2015,1,17,0
Asla Vazgecmem,2015,120,Show Tv,Gold Film,Faruk Turgut,Sirma Yanik,Nihat Durak,85,70,80,Romantik,2016,3,59,1
Analar ve Anneler,2015,100,Kanal D,Ay Yapim,Kerem Catay,Onur Unlu,Onur Unlu,35,35,25,Komedi,2015,1,13,0
Bes Kardes,2015,90,ATV,Ay Yapim,Kerem Catay,Berkun Oya,Mehmet Ada Oztekin,55,60,70,Dram,2015,1,9,0
Tatli Intikam,2016,120,Kanal D,D Productions,Ayse Durmaz,Pinar Ordu Arslan,Baris Ercetin,55,50,40,Komedi,2016,1,30,1
Icerde,2016,120,Show Tv,Ay Yapim,Kerem Catay,Ertan Kurtulan,Uluc Bayraktar,70,85,65,Aksiyon,2017,1,39,1
Hayat Sarkisi,2016,120,Kanal D,Most Production,Gul Oguz,Jung Ha-Yeon,Cem Karci,60,65,55,Dram,2017,2,57,1
Payitaht Abdulhamid,2016,120,TRT 1,ES Film,Bulent Turgut,Osman Bodur,Serdar Akar,85,75,85,Tarihi,2019,3,70,1
Kis Gunesi,2016,120,Show Tv,Endemol Shine,Gokhan Tatarer,Ayca Mutlugil,Murat Onbul,40,45,70,Dram,2016,1,19,1
Vatanim Sensin,2016,120,Kanal D,O3 Medya,Nermin Eroglu,Necati Sahin,Yagmur Taylan,85,80,60,Tarihi,2018,2,59,1
Cesur ve Guzel,2016,120,Star Tv,Ay Yapim,Kerem Catay,Ece Yorenc,Ali Bilgin,90,80,35,Dram,2017,1,32,1
Bodrum Masali,2016,120,Kanal D,TMC,Erol Avci,Basar Basaran,Mehmet Ada Oztekin,60,50,50,Romantik,2017,1,42,1
Ask Laftan Anlamaz,2016,120,Show Tv,Bi Yapim,Burak Sagyasar,Nuray Uslu,Bahadir Ince,50,50,40,Romantik,2017,1,31,0
No: 309,2016,120,Fox Tv,Gold Film,Faruk Turgut,Asli Zengin,Hasan Tolga Pulat,50,70,65,Komedi,2017,2,65,1
Anne,2016,120,Star Tv,MF Yapim,Fatih Aksoy,Berfu Ergenekon,Merve Girgin,85,75,60,Dram,2017,1,33,0
Hayatimin Aski,2016,120,Kanal D,LuckyRed,Sebnem Askin,Ekin Atalar,Baris Yos,50,60,60,Komedi,2016,1,17,0
Ates Bocegi,2017,120,Star Tv,Mia Yapim,Banu Akdeniz,Ebru Hacioglu,Baris Yos,40,35,25,Komedi,2017,1,17,0
Bu Sehir Arkandan Gelecek,2017,100,Kanal D,Ay Yapim,Kerem Catay,Ece Yorenc,Cagri Vila Lostuvali,55,55,85,Dram,2017,1,20,1
Deli Gonul,2017,130,Fox Tv,25 Film,Firat Parlak,Rahsan Cigdem Inan,Levent Demirkale,70,30,20,Dram,2017,1,10,0
Fazilet Hanim ve Kizlari,2017,150,Star Tv,Avsar Film,Sukru Avsar,Sirma Yanik,Murat Saracoglu,70,65,60,Dram,2018,2,50,0
Dolunay,2017,120,Star Tv,No Dokuz Productions,Yagmur Unal,Ayse Gunsu Teker,Cagri Bayrak,55,65,40,Komedi,2017,1,26,1
Cukur,2017,120,Show Tv,Ay Yapim,Kerem Catay,Gokhan Horzum,Sinan Ozturk,70,85,50,Aksiyon,2019,2,50,0
Bizim Hikaye,2017,120,Fox Tv,Med Yapim,Fatih Aksoy,Hatice Meryem,Serdar Gozelekli,50,60,75,Komedi,2019,2,55,0
Adi Efsane,2017,140,Kanal D,D Productions,Ayse Durmaz,Tunus Tasci,Selim Erkul,70,70,55,Dram,2017,1,29,0
Istanbullu Gelin,2017,120,Star Tv,O3 Medya,Onur Guvenatam,Tesrik-i Mesai,Zeynep Gunay Tan,70,70,80,Dram,2019,3,65,0
Kadin,2017,120,Fox Tv,Med Yapim,Fatih Aksoy,Hande Altayli,Merve Girgin,80,60,70,Dram,2019,2,48,0
Kalp Atisi,2017,120,Show Tv,MF Yapim,Faruk Bayhan,Makbule Kosif,Yusuf Pirhasan,65,45,70,Dram,2018,1,29,0
Kanatsiz Kuslar,2017,140,ATV,Koliba Film,Ata Turkoglu,Hakan Haksun,Kemal Uzun,40,45,40,Dram,2018,1,46,0
Iki Yalanci,2017,140,Kanal D,TukenmezKalem Film,Gani Mujde,Gani Mujde,Eda Teksoz,70,25,15,Komedi,2017,1,9,0
Savasci,2017,120,Fox Tv,Limon Film,Hayri Aslan ,Suleyman Cobanoglu,Volkan Kocaturk,65,75,80,Aksiyon,2019,3,60,0
Soz,2017,120,Star Tv,Tims Productions,Timur Savci,Ethem Ozisik,Yagiz Alp Akaydin,80,65,65,Aksiyon,2019,3,67,0
Sevkat Yerimdar,2017,90,Fox Tv,Limon Film,Hayri Aslan,Erol Hizarci,Bulent Isbilen,55,45,40,Komedi,2018,1,44,1
Ufak Tefek Cinayetler,2017,120,Star Tv,Ay Yapim,Kerem Catay,Meric Acemi,Ali Bilgin,70,70,70,Dram,2018,2,45,0
Payitaht: Abdulhamid,2017,130,TRT 1,ES Film,Yusuf Esenkal,Osman Bodur,Serdar Akar,85,75,85,Tarihi,2019,2,69,0
Meryem,2017,130,Kanal D,TMC,Erol Avci,Meryem Gultabak,Mustafa Sevki Dogan,50,50,60,Dram,2018,1,30,0
Ver Elini Ask,2017,140,Kanal D,Salacak Yapim,Ayca Aral Sarangil,Ayse Ferda Eryilmaz,Bora Onur,30,35,20,Komedi,2017,1,11,0
Yeni Gelin,2017,120,Show Tv,Surec Film,Ali Gundogdu,Ersoy Guler,Ersoy Guler,75,75,80,Komedi,2018,3,63,1
Mehmetcik Kut'ul Amare,2018,120,TRT 1,Tekden Film,Mehmet Bozdag,Mehmet Bozdag,Mustafa Sevki Dogan,55,70,65,Tarihi,2018,1,19,1
Elimi Birakma,2018,120,TRT 1,Us Yapim,Sureyya Yasar Onal,Nilufer Aydin,Sadullah Celen,65,70,60,Dram,2019,1,30,0
Avlu,2018,120,Star Tv,Limon Film,Hayri Aslan,Mehmet Guzelbeyoglu,Yuksel Aksu,95,90,70,Dram,2019,1,30,0
Bir Litre Gozyasi,2018,120,Kanal D,Med Yapim,Fatih Aksoy,Hayal Taciri,Serhan Sahin,65,60,70,Dram,2019,1,30,0
Bir Zamanlar Cukurova,2018,150,ATV,Tims Productions,Timur Savci,Yildiz Tunc,Faruk Teber,60,75,70,Dram,2019,1,30,0
Carpisma,2018,120,Show Tv,Ay Yapim,Kerem Catay,Ali Aydin,Uluc Bayraktar,90,65,65,Dram,2019,1,30,0
Ikizler Memo - Can,2018,120,Kanal D,Erler Film,Turker Inanoglu,Ozlem Atasoy,Erol Ozlevi,75,55,70,Komedi,2019,1,30,0
Yasak Elma,2018,90,Fox Tv,Med Yapim,Fatih Aksoy,Melis Civelek,Neslihan Yesilyurt,60,65,70,Dram,2019,1,30,0
8. Gun,2018,120,ATV,Ay Yapim,Kerem Catay,Volkan Sumbul,Cagri Vila,55,65,90,Dram,2018,1,6,0
Erkenci Kus,2018,120,Star Tv,Gold Film,Faruk Turgut,Ayse Kutlu,Cagri Bayrak,50,55,65,Romantik,2019,1,30,0
Muhtesem Ikili,2018,120,Kanal D,TMC,Erol Avci,Basar Basaran,Cagatay Tosun,55,65,70,Aksiyon,2019,1,30,0
